title,picture,author,synopsis,classement,language,genre,link_fanfic
Hearts With(out) Chains,/static/images/d_60_90.jpg,Hearts With(out) Chains,"Law is reclaimed by the Family when he's 17 and, with Doflamingo holding the lives of his crew as collateral for his good behavior, eventually becomes the third Corazon. Years later, trapped by his impossible situation, Law can't help but resent Monkey D. Luffy for offering a glimpse of something he's repeatedly had ripped away from him: hope.",Rated: T , English , Drama/Friendship ,/s/13811220/1/Hearts-With-out-Chains
Hearts of Warriors,/static/images/d_60_90.jpg,vvanp,A member of the Whitebeard pirates has been captured and it was seen as an open walk way to freedom for ASL,Rated: T , English , Romance/Hurt/Comfort ,/s/13865048/1/Hearts-of-Warriors
30 Years Before,/static/images/d_60_90.jpg,Luckyunicornsparkle,"Luffy finds himself 30 years in the past after a bad encounter with Black Beard. Luffy meets familiar faces and some legendary figures. His infamous father Dragon comes on to the scene, the leader of the Revolutionary wasn’t always the most wanted man in the world, in fact he has more things in common with his future son than one might think. (No pairings)(Time travel Au)",Rated: K+ , English , Family/Adventure ,/s/13841447/1/30-Years-Before
"Just You and Me Babe, Til The End",/static/images/d_60_90.jpg,"Just You and Me Babe, Til The End","Being thieves that are chased all over the country wasn't a life they intended to live, but might as well make the most of it and put Bonnie and Clyde to shame while they're at it (Mostly Zoro/OC story, but the other Straw Hats are involved as well, T for now, might switch to M, maybe)",Rated: T , English , Crime/Romance ,/s/13856735/1/Just-You-and-Me-Babe-Til-The-End
Enel's Mythical Adventure,/static/images/d_60_90.jpg,Enel's Mythical Adventure,"After his humiliating Defeat by this ""rubber"" boy, Enel wanted to relax on the fairy vearth so no one would bother him. But after a giant laser from the moon shot down his prized Maxim, he must go down with the people of the blue sea in order to fix his ship. Will he flee, rule, or both. Read to find out",Rated: T , English , Humor/Adventure ,/s/13861232/1/Enel-s-Mythical-Adventure
Journey of the Monkey Bros,/static/images/d_60_90.jpg,Journey of the Monkey Bros,"Luffy and his twin brother have never known who their parents were. As they journey to find the One Piece, they unlock secrets of their family.",Rated: T , English , Adventure/Fantasy ,/s/13739940/1/Journey-of-the-Monkey-Bros
One Shots that I wanted to share,/static/images/d_60_90.jpg,Cioup,"Here, I'll post some one shots I came up with, that I wanted to share. It's mostly about Ace and Marco and/or the whitebeards. Hope you'll like it",Rated: T , English , Humor/Romance ,/s/13864048/1/One-Shots-that-I-wanted-to-share
Breaking Free,/static/images/d_60_90.jpg,OracleNorZi,"3 Boys, in the same facility, yet viciously ripped away from each other. One is scarred, another is broken, and the last will fight till he dies. When something happens to the facility, after being ripped so far from each other, will they learn to love again? Jaded!ASL",Rated: T , English , Adventure ,/s/13733921/1/Breaking-Free
"You Can Expect the Unexpected, But Not This",/static/images/d_60_90.jpg,"You Can Expect the Unexpected, But Not This","The D Brothers decide to make the most of their time together on the night before Ace's 17th birthday, knowing that they'll be apart for years. But what happens when a night of fun ends with the two making more than just memories? Ace sets out to sea, not knowing that he is leaving more than just his brother behind. Luffy's just glad he won't be so alone after all. AceLu - Mpreg",Rated: T , English , Romance/Family ,/s/13805054/1/You-Can-Expect-the-Unexpected-But-Not-This
Restaurant In New World!,/static/images/d_60_90.jpg,Restaurant In New World!,A chef found himself in New World with a Restaurant System in his mind and OP employees on his side. Stay with him as he slowly became the best chef in the One Piece World! Action Later. Mostly Drama In The Beginning. Other Anime Characters. Semi-AU. No Obvious Change Of Plot In The Beginning. Super OP MC!,Rated: T , English , Drama ,/s/13812554/1/Restaurant-In-New-World
Rubber King and Mirror Master,/static/images/d_60_90.jpg,Rubber King and Mirror Master,"What if Luffy had another older 'brother' besides Sabo and Ace, one who followed him on his journey to be pirate King? Between Monkey D Luffy and Serpens D Kaos, the Grand Line (and the Marines) won't know what hit them. Mutli pairings in future as well as extra crewmates.",Rated: T , English , Humor/Adventure ,/s/12642512/1/Rubber-King-and-Mirror-Master
Straw Hat Redux,/static/images/d_60_90.jpg,Straw Hat Redux,"Sent back in time before the Straw Hat Pirates had made their mark, the time travelers will have to reach the ending all over again.",Rated: T , English , Chapters: 1 ,/s/11604573/1/Straw-Hat-Redux
