title,picture,author,synopsis,classement,language,genre,link_fanfic
Love Drunk: Winter Widow Oneshot Book,/static/images/d_60_90.jpg,Love Drunk: Winter Widow Oneshot Book,"A Winter Widow oneshot book, featuring ensemble cast.",Rated: K+ , English , Romance/Humor ,/s/13850381/1/Love-Drunk-Winter-Widow-Oneshot-Book
The After: Bucky Barnes,/static/images/d_60_90.jpg,The After: Bucky Barnes,"Mawu Munroe lost five years after The Snap much like many others. Coming back, she lost her husband (Tony Stark), despite their marriage now null and void due to his marriage to Pepper Potts after Mawu's disappearance. In a new world order, Mawu must adapt to what she once had and in doing so, finds comfort in an old friend: Bucky Barnes.",Rated: T , English , Romance/Hurt/Comfort ,/s/13853769/1/The-After-Bucky-Barnes
Courtesy Call,/static/images/d_60_90.jpg,Courtesy Call,"The Avengers have made enimies with some of the most dangerous villians in town. This will test friendships, relationships, everything.",Rated: K+ , English , Romance/Drama ,/s/13852284/1/Courtesy-Call
Marvel Comics 1000 Addendum,/static/images/d_60_90.jpg,Marvel Comics 1000 Addendum,"A series of additional one-shot tales to celebrate Marvel's 80th Anniversary. In the eleventh one-shot, a mysterious visitor from another universe remembers who he is... Read and Review, please!",Rated: T , English , Adventure ,/s/13551215/1/Marvel-Comics-1000-Addendum
Millon Miles An Hour,/static/images/d_60_90.jpg,Millon Miles An Hour,How I would have written End Game.,Rated: K+ , English , Drama/Romance ,/s/13850620/1/Millon-Miles-An-Hour
Fall Apart,/static/images/d_60_90.jpg,JoluBabes2016,Takes place after Bucky decides to freeze himself.,Rated: K+ , English , Drama/Romance ,/s/13850650/1/Fall-Apart
"Hey There, Delilah",/static/images/d_60_90.jpg,JoluBabes2016,A WandaVision oneshot book featuring an ensemble cast.,Rated: K+ , English , Romance/Humor ,/s/13850639/1/Hey-There-Delilah
Candy Man,/static/images/d_60_90.jpg,JoluBabes2016,A 1940’s esque Winter Widow story with an ensemble cast.,Rated: K+ , English , Romance/Drama ,/s/13850590/1/Candy-Man
“Brother of Thor”,/static/images/d_60_90.jpg,Lokislover16,Set in the time of during Thor the dark world but after Spiderman homecoming I know that timeline doesn’t make sense but that’s where we are and so Loki is sad and imprisoned and Thor befrinds Peter,Rated: K+ , English , Hurt/Comfort/Friendship ,/s/13848463/1/Brother-of-Thor
Buce Banner: Beauty and the Hulk,/static/images/d_60_90.jpg,Buce Banner: Beauty and the Hulk,"Kira is hired by Tony Stark to use her unique powers to help Bruce Banner, who still cannot control his hulk form. Bruce doesn't like the idea at first, but he slowly develops a bond with this mysterious girl. What secret abilities does she possess? Bruce and Kira are both hiding demons from their past, soon to be revealed. Will this beauty fall for the man inside the beast?",Rated: K+ , English , Romance/Mystery ,/s/13848030/1/Buce-Banner-Beauty-and-the-Hulk
Hyperion,/static/images/d_60_90.jpg,Malganis84,"The atomic hero of the modern age makes his debut! When Mark Milton encounters an alien machine as a child, he is transformed into an Eternal! Now as an adult he must choose how he will use his powers to help the world.",Rated: T , English , Adventure/Sci,/s/13846933/1/Hyperion
Ultimate Alliance: Marvel,/static/images/d_60_90.jpg,RichardK0,"This is a bit of a prequel to ""The Dark God of Thunder."" It details a version of the Marvel universe I'm writing, so I hope you enjoy it.",Rated: T , English , Adventure ,/s/13846840/1/Ultimate-Alliance-Marvel
A Tail of New Beginnings,/static/images/d_60_90.jpg,LadySquirrelLore,"One-shot. After the events of the Unbeatable Squirrel Girl series, Doreen Green is hesitant to return to her normal life, fearing that everything has changed too much.",Rated: K , English , Friendship ,/s/13845648/1/A-Tail-of-New-Beginnings
When I Find My Way Home,/static/images/d_60_90.jpg,Brooklyn1918,"Fern Carter was never meant to live the life that she did. Born after the war, her mother went to found shield. But after a kidnapping, she ends up in a whole new world, where the people there strive to help her in any way they can.",Rated: T , English , Family/Hurt/Comfort ,/s/13619912/1/When-I-Find-My-Way-Home
Dark Heat,/static/images/d_60_90.jpg,SAMCROeater,"Audrey Rogers did not have a lot to be particularly happy about. Her parents, while abusive and absent, are dead and gone, her brother wants to be better than he is, and she's always taking care of him when she isn't working. Is there anything that can make her happy? AN: I personally don't support Amber Heard. The fact that I'm using her pictures is purely because she has the loo",Rated: T , English , Drama/Romance ,/s/13831406/1/Dark-Heat
Even the king needs help in his castle,/static/images/d_60_90.jpg,Lokislover16,Loki returns to earth and meets ine young spiderling Ive been working on this for a while hope you like it!,Rated: T , English , Hurt/Comfort/Friendship ,/s/13843929/1/Even-the-king-needs-help-in-his-castle
