title,picture,author,synopsis,classement,language,genre,link_fanfic
Let's Not Fall In Love,/static/images/d_60_90.jpg,Ribonette,"[AU] Daidouji Tomoyo had never take any of her boyfriends seriously, and didn't care at all when her relationships came to an end; actually, she preferred it that way. That, until she met him: Kinomoto Touya. The rule was simple: Let's don't fall in love. Would she be able to follow it?",Rated: M , English , Drama/Romance ,/s/14027076/1/Let-s-Not-Fall-In-Love
"Cards, love, war, and rebellion",/static/images/d_60_90.jpg,TheDemigodIsSpying,"A fantasy AU story, Sakura and Syaorang go on a journey in the world of magica to end a war against the demons in the empire of Han-cho, a dangerous journey of adventure, magic, and love. one that will get them to save the world from total enslavement.",Rated: M , English , Adventure/Fantasy ,/s/13967130/1/Cards-love-war-and-rebellion
Sakura the Vampire Slayer,/static/images/d_60_90.jpg,Sakura the Vampire Slayer,"A human-created virus has spread across the planet, turning part of the population into vampires. Sakura and her friends live in a shelter in the year 2500. They go out in search of adventure and vampires to kill... but they are in for surprises, especially an amber-eyed vampire who will follow her trail until he finds her. Warning: sex content and violence",Rated: M , English , Drama/Romance ,/s/13990064/1/Sakura-the-Vampire-Slayer
"My Best Friend, Syaoran",/static/images/d_60_90.jpg,BlueZeldana,"Sakura and Syaoran are new students in the same high school. The first day they connect with each other, becoming really good friends. But, some years later, Syaoran starts to feel something different for her... He has no idea why, but he has fallen in love with her. Will their friendship survive? Will Sakura love him back? / Slow burn. Warning: sex content.",Rated: M , English , Humor/Romance ,/s/13828079/1/My-Best-Friend-Syaoran
Love Me Back,/static/images/d_60_90.jpg,animechick132,"REVISION. What happens when Sakura gets partnered with the bad boy to take care of a baby for a class she needs to graduate? Not to mention, they have bad history. Neither thought a project would bring them back together after a betrayal that tore them apart. How did they find themselves visiting the past they tried to forget and move on from? A hell of a lot happens in 2 weeks!",Rated: M , English , Romance/Drama ,/s/7445700/1/Love-Me-Back
Delinquent 7,/static/images/d_60_90.jpg,Delinquent 7,"Some believe they're Godly, others believe they are mere delinquents. When Sakura is admitted to facility for the Divine – beings with violent and inhuman abilities – she bonds with a tortured Syaoran and the most evolved threats to humanity. As Clow's prophecy of a great calamity approaches, they must decide; are they subjects of a horrid mythology, or an evolution to be corrected",Rated: M , English , Supernatural/Romance ,/s/13845578/1/Delinquent-7
My Steps to You,/static/images/d_60_90.jpg,My Steps to You,Sakura wanted something new in her life. She met a person name Little wolf online. Little does she know he is put in a situation and needs to find a girlfriend to get the clan off his back. They talk over time and eventually meet. But they do not know they are each other until many years later. They meet again in a office and have to work together.,Rated: M , English , Chapters: 22 ,/s/13857782/1/My-Steps-to-You
Fool For You: Union,/static/images/d_60_90.jpg,Fool For You: Union,A Fool For You special (to be read after A Fool For You fanfic) A mistress seldom gets a happy ending and a cheater is rarely given a second chance at love. But Sakura and Syaoran are determined to make it work. This is their wedding story.,Rated: M , English , Romance/Drama ,/s/13833539/1/Fool-For-You-Union
-My1-,/static/images/d_60_90.jpg,fluffies4ever,"Tomoyo writes in her diary about graduating. She has a surprise in store but doesn't know it yet. What'll happen? Please Read To Find Out! P.s I DON'T own anything but my ideas! If you like what you read, feel free...",Rated: M , English , Romance ,/s/14005351/1/My1
Doctor Satyromaniac,/static/images/d_60_90.jpg,animechick132,"""D-Dr. Li, this is extremely inappropriate for our current situation,"" she stuttered as Syaoran nibbled gently on her ear. ""This will be the last time I do this, and I'll stop, remember?"" He kissed her in a spot that he knew every woman loved, and from the way she responded, he knew that he had her right where he wanted her. He just didn't know how wrong his declaration was...",Rated: M , English , Romance/Angst ,/s/12592762/1/Doctor-Satyromaniac
Fool For You,/static/images/d_60_90.jpg,Fool For You,"A regular small town girl in Tokyo, Kinomoto Sakura accepts a job she never thought she would have. When she meets Li Syaoran, a rude, insensitive client she never expected to like him. Yet she falls for the man and just when she thought her happily ever after was written in stone, she discovers the one thing that could ruin that - she's the other woman.",Rated: M , English , Angst/Romance ,/s/10632559/1/Fool-For-You
