title,picture,author,synopsis,classement,language,genre,link_fanfic
Hyperion,/static/images/d_60_90.jpg,Malganis84,"The atomic hero of the modern age makes his debut! When Mark Milton encounters an alien machine as a child, he is transformed into an Eternal! Now as an adult he must choose how he will use his powers to help the world.",Rated: T , English , Adventure/Sci,/s/13846933/1/Hyperion
Ultimate Avengers vol 1: The Beginning,/static/images/d_60_90.jpg,pth126,"As the world faces chaos in the form of an alien invasion years in the making, heroes must band together to fight this threat or face the destruction of their world.",Rated: T , English , Drama/Sci,/s/13967403/1/Ultimate-Avengers-vol-1-The-Beginning
where the streetlights glow,/static/images/d_60_90.jpg,kamrynlyn23,"Swinging through the streets, was always something he loved to do. The lights provided a way to get through the darkness. What would happen if that light went dark? “When you need me, remember the light i shined may be dimmed, but it will never go dark.” (Character death: tw)",Rated: T , English , Romance/Tragedy ,/s/14014297/1/where-the-streetlights-glow
Can I Have This Dance?,/static/images/d_60_90.jpg,Bechobbit,Just a small Sylki ficlet in which Loki and Sylvie dance. Domestic Loki and Sylvie.,Rated: T , English , Romance ,/s/14012015/1/Can-I-Have-This-Dance
Mementos,/static/images/d_60_90.jpg,LoyalShipper,"CONTAINS SPOILERS FOR NWH! Peter Parker is all alone now. No aunt, no friends, nothing. He is now an unknown man, insignificant. He knows it was his choice. But that fact alone doesn’t shake away the loneliness he is feeling. So here he is, laying down on his high school rooftop. He was just peacefully scrolling through his phone. That’s when he stumbled upon some old videos.",Rated: K , English , Hurt/Comfort/Angst ,/s/14011658/1/Mementos
Just Another Reincarnator in a Mad Multiverse,/static/images/d_60_90.jpg,Just Another Reincarnator in a Mad Multiverse,"That’s right folks! It’s another reincarnation with another system! As well as multiverse traveling! I’m just hitting all of the tropes I can! Anyway, joking aside. Our lovable MC is gonna die and then he’s gonna get a system before he reincarnates into a fictional world. You all know the gist of it.",Rated: T , English , Adventure/Humor ,/s/13980885/1/Just-Another-Reincarnator-in-a-Mad-Multiverse
Goodbye,/static/images/d_60_90.jpg,Celebrian9,ONESHOT: Becca Barnes says goodbye to her brother.,Rated: K , English , Angst ,/s/14009260/1/Goodbye
I had you,/static/images/d_60_90.jpg,I had you,Steve came back. But Bucky notices he looks older.,Rated: K , English , Romance ,/s/14007909/1/I-had-you
The Marvelous Immortal,/static/images/d_60_90.jpg,The Marvelous Immortal,"Due to a miscalculation by Christopher who arrived at earth amid a war between a group of heroes and the guiding army by Thanos who wanted to destroy half the life in the universe with the infinity gems. After defeating Thanos with his new companions, Christopher used the Infinity Gems to open a portal and return to the immortal realm. But who could predict that the moment he pas",Rated: K , English , Adventure/Romance ,/s/14006159/1/The-Marvelous-Immortal
Marvel's Mightiest,/static/images/d_60_90.jpg,JacktheCat779,"There are many universes in the multiverse, each having their own similarities and differences, but what happened in this one to cause the Avengers to be registered under SHIELD? Witness an all-new take on some of Earth's mightiest heroes and villains.",Rated: T , English , Adventure/Drama ,/s/13295346/1/Marvel-s-Mightiest
Nightingale an Avenger’s Tale,/static/images/d_60_90.jpg,Nightingale616,"Everything changed after New York. For starters, the entire world learned that aliens and superheroes existed. Some were even in our midst. But New York, it was different for me. Everyone changed after New York. Most people lost the comfort of knowing what their future held. But for me, I lost knowing my past.",Rated: K+ , English , Adventure/Drama ,/s/14002679/1/Nightingale-an-Avenger-s-Tale
Of Werewolves and Super Soldiers,/static/images/d_60_90.jpg,Of Werewolves and Super Soldiers,What if Tony Stark was a wolf shifter? Boders In the know humans,Rated: T , English , Fantasy/Sci,/s/14002000/1/Of-Werewolves-and-Super-Soldiers
Westview through the eyes of a Witch,/static/images/d_60_90.jpg,Westview through the eyes of a Witch,"When Agatha Harkness feels the small spark of chaos magic, she goes to find the source. Her plan is to take care of them as a way to let Wanda her magic grow, with the intention to harness it for herself when it's strong enough. When years pass, she can't help but feel like a mother figure towards Wanda. Then the hex happenes...",Rated: K , English , Fantasy/Family ,/s/13951695/1/Westview-through-the-eyes-of-a-Witch
Under the Decorated Awning,/static/images/d_60_90.jpg,Sexy.Lil.Emo,"Peter wants to invite Wade over for Christmas, and decides to buy him a gift. A gift isn't the only thing he finds at the store though. - Spideypool -(Under the Mistletoe Series Part Two)",Rated: K+ , English , Romance ,/s/14000317/1/Under-the-Decorated-Awning
Marémon,/static/images/d_60_90.jpg,ShizukaRakugaki44,"Following the death of his uncle, a young man named Peter Parker decides to become a Marémon Hero like his idol Tony Stark in an alternate version of the Marvel universe where superhero and villain personas are embodied as creatures called Marémon.",Rated: K+ , English , Adventure/Friendship ,/s/13501418/1/Mar%C3%A9mon
The Amazing Spider-Man,/static/images/d_60_90.jpg,Br00ka,"Peter Parker has been Spider-Man for six years now, since becoming Spider-Man alot has happened. His Uncle Ben died, his best friend moved away for work, his girlfriend was killed by Doctor Octopus and he formed a Superhero team called The Defenders with some of his crime-fighting buddies. What's next for our favourite web-slinger?",Rated: T , English , Adventure/Drama ,/s/13992229/1/The-Amazing-Spider-Man
Tales to Astonish Volume 2,/static/images/d_60_90.jpg,Tales to Astonish Volume 2,Bold new characters and a startling new direction!,Rated: T , English , Adventure ,/s/8103378/1/Tales-to-Astonish-Volume-2
The Death of Iron Fist III,/static/images/d_60_90.jpg,grelber37,My Death of Iron Fist stories have legs. People read them and enjoy them. Let us take the fantastic fun home in this final book of the sordid saga. Thank you to previous readers and reviewers. You have inspired my writing. New readers will find a summary of past plot in the first chapter.,Rated: T , English , Adventure/Fantasy ,/s/13743178/1/The-Death-of-Iron-Fist-III
Klepto -- Of Things Once Lost,/static/images/d_60_90.jpg,V-rcingetorix,"Little people are happy people. Unnoticed by organizations like the Avengers, the Fantastic Four or Heaven forbid, the X-men. But sometimes, we get into a little trouble. Maybe. Once in a while, if other thieves get involved. This is a little slice of my life.",Rated: T , English , Humor/Adventure ,/s/12864223/1/Klepto-Of-Things-Once-Lost
Ambush,/static/images/d_60_90.jpg,Ambush,"Tony is attacked in Steve's apartment. [Stony/Steve x Tony] #Marvel Ultimates, #Fluff, #Cats",Rated: K , English , Humor ,/s/13979263/1/Ambush
Dancing and Mistletoe under a Starry Night Sky,/static/images/d_60_90.jpg,Dancing and Mistletoe under a Starry Night Sky,"Tony doesn't expect to see the Sheriff at the Town dance [Stony/Steve x Tony] #Marvel 1872, #Dancing, #Protective Tony Stark, #Mistletoe, #Fluff, #Love Confessions",Rated: K , English , Hurt/Comfort ,/s/13979259/1/Dancing-and-Mistletoe-under-a-Starry-Night-Sky
Home Safe,/static/images/d_60_90.jpg,DepressingGreenie,"Steve has returned home from his mission. [Stony/Steve x Tony] #Marvel Ultimates, #Fluff, #Established Relationship, #Domestic, #Drabble",Rated: K , English , Chapters: 1 ,/s/13978603/1/Home-Safe
