title,picture,author,synopsis,classement,language,genre,link_fanfic
A Dangerous Man,/static/images/d_60_90.jpg,A Dangerous Man,"""….'Then let me come with you,' I offered. My words were so faint against the wind, I didn't know if he heard me at first."" A quick Ace x Vivi drabble as they share an intimate moment in Alabasta. Vivi's POV.",Rated: T , English , Romance/Hurt/Comfort ,/s/14037779/1/A-Dangerous-Man
"Coby's Choice 2: New World, New Choices",/static/images/d_60_90.jpg,SwordOfTheGods,"A continuation of Coby's Choice. The Timeskip has come and gone and the Straw Hats reunite. Unfortunately, the New World doesn't want to make their journey easy. Especially with a child on board! Expanded!Crew, Pirate!Coby, DevilFruit!Coby, Pairings. Current Arc: Fishman Island",Rated: T , English , Adventure ,/s/13950645/1/Coby-s-Choice-2-New-World-New-Choices
Fiery Scales,/static/images/d_60_90.jpg,Shadow22739,"A hand stuck out from under the debris, Marco was working fast but efficient to free the person, but where he should have found legs, bright orange scales greeted him instead.",Rated: T , English , Fantasy/Family ,/s/14026575/1/Fiery-Scales
One Piece: Wano - A Different Possibility,/static/images/d_60_90.jpg,TheWisePhoenix,"(*Yamato and Momo-centric story*) Instead of Momo, Hiyori is sent into the future. Now stranded in the dying and barren wasteland that was once his father's beautiful country, Momo must learn how to survive, how to become a proper man, and how to take back his country and his people's hearts. Meanwhile, Yamato has stown away on mainland Wano...",Rated: T , English , Adventure/Humor ,/s/14030313/1/One-Piece-Wano-A-Different-Possibility
Keseharian Beast Pirates,/static/images/d_60_90.jpg,MonoSa-san,"Di luar boleh sangar, badass, cool, tapi itu hanya di depan kamera. Banyak cerita yang tidak tereskpos oleh media dan tentunya tidak diketahui orang luar Beast Pirates. Cukup mereka saja yang tau. Cukup mereka saja yang rasakan. Cukup mereka saja yang begitu. WARN! sedikit atau malah OOC.",Rated: K+ , Indonesian , Chapters: 4 ,/s/13886391/1/Keseharian-Beast-Pirates
Hanakotoba,/static/images/d_60_90.jpg,Usako92,"Una isla prisión, la lucha contra la corrupción y una explosión vuelven a unir a ambos espadachines en un único camino que les conducirá a la isla de Hanakotoba, donde tendrán que recomponer los despedazados recuerdos de la capitana marine. Zotash. ZoroxTashigi.",Rated: K+ , Spanish , Romance/Adventure ,/s/14015450/1/Hanakotoba
King of The Mangaka!,/static/images/d_60_90.jpg,TheWisePhoenix,"Wealth, Fame, Influence. The Grandfather of the Manga Industry, Osamu Tezuka, had achieved it all. On his deathbed, he declared, ""The greatest manga that ever exists? It hasn't been made yet! Go out and make it yourself, if you can!"" And thus started the great Mangaka era!",Rated: K , English , Adventure/Romance ,/s/14037529/1/King-of-The-Mangaka
Captain's Orders ZoroXNami,/static/images/d_60_90.jpg,DeadDumplingHY,"Several years ago, the Straw Hats found the One Piece. But at Luffy's orders, they separated, waiting for the day when Luffy will call them back together. But why is he waiting so long, was this what he wanted? Now, seven years later, coincidentally, Nami meets Zoro. They decide to go and bring everyone back together again. Even if it meant breaking their captain's orders. ZoNa",Rated: K+ , English , Mystery/Romance ,/s/14002369/1/Captain-s-Orders-ZoroXNami
The Girl from An Island of Wolves,/static/images/d_60_90.jpg,runaway00,"She was an outcast, born with unclean skin. A group of pirates arrive in search of the One Piece. The tribe doesn't hesitate to offer her as a trade for their peaceful departure. Years later, when she's forced to walk the plank, can a group of Straw Hat Pirates come to her rescue in time?",Rated: T , English , Tragedy/Friendship ,/s/14037418/1/The-Girl-from-An-Island-of-Wolves
Rubber of justice: east blue arc,/static/images/d_60_90.jpg,Rubber of justice: east blue arc,"Name says it all. Please review, follow and take care.",Rated: T , English , Adventure ,/s/14030951/1/Rubber-of-justice-east-blue-arc
